,△SST,Ranked Temperature,Local Retention,Self-recruitment,Destination Strength,Betweenness Centrality,Eigenvector Centrality,Initital Trait Mismatch,Area,DS:ITM,rankSST:SR,Area:DS
Carib0,0.93,1,0.97,1,1,0.28,1,1,0.83,1,1,0.76
Carib0.01,0.97,0.99,0.8,1,1,0.27,1,1,1,1,1,0.99
Carib0.1,0.36,0.33,0.27,0.3,1,0.34,0.59,1,0.95,0.52,0.04,0.93
SWP0,1,1,0.26,1,1,1,0.86,1,1,0.85,1,1
SWP0.01,1,1,0.43,1,1,0.27,0.26,1,0.99,0.96,1,0.98
SWP0.1,1,0.66,0.3,0.71,1,0.27,0.54,1,0.57,0.3,0.51,0.35
CT0,1,1,1,1,1,0.99,1,1,1,1,0.99,1
CT0.01,1,1,1,1,1,1,0.7,1,1,1,1,0.99
CT0.1,1,1,1,0.59,1,0.99,0.3,0.99,1,0.28,0.17,0.88
