"","Variable","RVI","Best.Model","Best.Model.SD","Model.Average","Full.Model","Connectivity","Temperature","Ideal.Larvae","V","V2","Region"
"91","egveccent_log",1,0.0812305428980654,0.324806272274115,0.0812190811818129,0.0812311743678031,NA,NA,NA,"0.01",1,"CT"
"92","ITM_log",0.995965964871809,0.0136186378306077,0.177478989960626,0.0137287659731827,0.0136480397539602,NA,NA,-0.0763862928483659,"0.01",1,"CT"
"93","Area_log",1,-0.474731319051189,0.260871044165584,-0.474709954923507,-0.474707157044581,NA,NA,NA,"0.01",1,"CT"
"94","DS_log:ITM_log",0.265901299565682,NA,NA,0.000241915551837001,0.000241911166144099,NA,NA,-0.0127255969339753,"0.01",1,"CT"
"95","rankSST:SR_log",0.999999999999234,0.043044811417613,0.257587868793751,0.0430361965274992,0.0430406328142851,NA,NA,NA,"0.01",1,"CT"
"96","Area_log:DS_log",0.999999751731509,-0.0332977749048886,0.26366984351786,-0.0334561108497148,-0.0333507277878732,NA,NA,NA,"0.01",1,"CT"
"97","deltaSST",0.999999501108505,-0.0259685664856376,0.600439851301471,-0.0259762325867481,-0.0259445566435204,NA,-0.0154256006847366,NA,"0.1",2,"CT"
"98","rankSST",1,-0.0634914753519978,0.700353826539393,-0.0634645562169122,-0.063606421277182,NA,-0.0121830861474259,-0.0150857094143186,"0.1",2,"CT"
"99","LR_log",0.998168578843646,-0.0282269483166018,1.18979118559037,-0.0281498226703478,-0.025912723832043,0.00501551153150478,NA,NA,"0.1",2,"CT"
"100","SR_log",0.793465650179935,0.0155714309966661,1.68242141415005,0.0154720023126847,0.0159377143063652,-0.00617058658059633,NA,NA,"0.1",2,"CT"
"101","DS_log",1,0.148580318333773,1.41744441952371,0.148647334086513,0.150146271255797,0.148426011171341,NA,0.146118617161295,"0.1",2,"CT"
"102","bwcent_log",0.993976815333917,0.0159777304365592,0.873273528861657,0.0159874315279326,0.0159491903146514,NA,NA,NA,"0.1",2,"CT"
"103","egveccent_log",0.99999999990955,0.0352437282701209,0.622476739317436,0.0352119222449445,0.0345850266660157,NA,NA,NA,"0.1",2,"CT"
"104","ITM_log",0.990720516929537,0.0140909153877704,1.58195896173857,0.0140865535036846,0.013060905884428,NA,NA,-0.021760563876042,"0.1",2,"CT"
"105","Area_log",1,-0.197985229189019,0.854399987431155,-0.197972528751604,-0.198008242176192,NA,NA,NA,"0.1",2,"CT"
"106","DS_log:ITM_log",0.507810378867975,0.00509544397927432,1.03686478692304,0.00509779024248786,0.0047458865026129,NA,NA,NA,"0.1",2,"CT"
"107","rankSST:SR_log",0.21182758435386,NA,NA,-0.000212278025613889,-0.000196808576684932,NA,NA,NA,"0.1",2,"CT"
"108","Area_log:DS_log",0.749625872221022,-0.00977672678717921,0.650934552762924,NA,-0.00903218075105663,NA,NA,NA,"0.1",2,"CT"
