"","Variable","RVI","Best.Model","Best.Model.SD","Model.Average","Full.Model","Connectivity","Temperature","Ideal.Larvae","V","V2","Region"
"1","deltaSST",0.40389180565924,NA,NA,-0.0417407765263693,-0.042952866152808,NA,0.0641910481586292,NA,"0",0,"Carib"
"2","rankSST",1,-0.638737845488855,1.33139271757496,-0.668280568954673,-0.654154753184281,NA,-0.515843868387181,-0.43156979838288,"0",0,"Carib"
"3","LR_log",0.999827496176775,0.38863613249052,1.8664171090188,0.379768753753921,0.388148763559949,-0.253539749058994,NA,NA,"0",0,"Carib"
"4","SR_log",1,-0.903490781178435,2.60443237404078,-0.879541503354052,-0.894185251662613,-0.0130641340435267,NA,NA,"0",0,"Carib"
"5","DS_log",1,1.921987843915,2.38739977489184,1.91975889986528,1.90477632156923,0.753928101675222,NA,0.629599612086245,"0",0,"Carib"
"6","bwcent_log",0.850140490675311,-0.156848752558418,1.33154377075607,-0.150565611015551,-0.154371828850554,NA,NA,NA,"0",0,"Carib"
"7","egveccent_log",0.999989298437503,-0.29958475604121,1.31669732650005,-0.300833284002414,-0.297104260855279,NA,NA,NA,"0",0,"Carib"
"8","ITM_log",1,0.982154832775771,1.7741606030772,0.990108085124097,0.976846953947778,NA,NA,0.966434589584702,"0",0,"Carib"
"9","Area_log",1,-0.558343056085726,1.37761907295763,-0.569545911873622,-0.567311756827587,NA,NA,NA,"0",0,"Carib"
"10","DS_log:ITM_log",1,-0.52559590783925,1.12368629978502,-0.529703484254035,-0.522021577463793,NA,NA,-0.503690030619634,"0",0,"Carib"
"11","rankSST:SR_log",0.999996490570692,0.282094492969169,1.16672678128747,0.299259669959917,0.288529763228056,NA,NA,NA,"0",0,"Carib"
"12","Area_log:DS_log",0.99999842126931,0.292941738456482,1.06780486495296,0.287767171965766,0.286999816145641,NA,NA,NA,"0",0,"Carib"
"13","deltaSST",0.947854583326278,-0.0685228897994199,0.500072622261723,-0.0664640128106523,-0.0689395921319677,NA,-0.0561994949025128,NA,"0.01",1,"Carib"
"14","rankSST",0.999990738112726,-0.0147144234187841,0.652286163010834,-0.0166700184047044,-0.0157506830148328,NA,-0.12327744711398,-0.0260108209430816,"0.01",1,"Carib"
"15","LR_log",0.435679296163402,NA,NA,0.0622752634027956,0.0587793982565604,-0.102425515882781,NA,NA,"0.01",1,"Carib"
"16","SR_log",0.999999991942268,-0.245160659100985,0.810617025254498,-0.31339153351966,-0.27221294045314,-0.0909308522758616,NA,NA,"0.01",1,"Carib"
"17","DS_log",0.999999998580364,0.269094176227269,1.1078823833258,0.302513097758059,0.281051245864115,0.112850987306008,NA,-0.0307311369541166,"0.01",1,"Carib"
"18","bwcent_log",0.808230065866453,-0.0831773398021232,0.681766782229208,-0.090630977506736,-0.0772253289431358,NA,NA,NA,"0.01",1,"Carib"
"19","egveccent_log",0.999999999413409,-0.17988829796313,0.57661930717206,-0.18450675739573,-0.182887509797624,NA,NA,NA,"0.01",1,"Carib"
"20","ITM_log",0.999999999999961,0.409733013965743,1.37897319550835,0.418171146437534,0.40461359345712,NA,NA,0.354555006573984,"0.01",1,"Carib"
"21","Area_log",0.594995497108826,0.0512221220129125,0.70130748791072,0.0503626912282162,0.0480285048291599,NA,NA,NA,"0.01",1,"Carib"
"22","DS_log:ITM_log",0.999263002564605,-0.175853107707423,0.871248662874831,-0.182297334651652,-0.171795078821406,NA,NA,-0.147772354885538,"0.01",1,"Carib"
"23","rankSST:SR_log",0.999983092329056,0.126938841859623,0.521469730345676,0.131406233087207,0.131983954968912,NA,NA,NA,"0.01",1,"Carib"
"24","Area_log:DS_log",0.236012805512741,NA,NA,0.0346432749787979,0.0287904711957253,NA,NA,NA,"0.01",1,"Carib"
"25","deltaSST",0.317858180542794,NA,NA,-0.0113824575575461,-0.00914742663355994,NA,-0.00376842768242891,NA,"0.1",2,"Carib"
"26","rankSST",0.413767754020133,NA,NA,-0.0204040660817259,-0.0100936660945791,NA,0.0052933144154159,-0.000979862363452237,"0.1",2,"Carib"
"27","LR_log",0.347172000095378,NA,NA,0.00665354365690283,-0.0114633328336231,-0.0162602161517944,NA,NA,"0.1",2,"Carib"
"28","SR_log",0.863951862416092,-0.0621095320009017,0.427034535323834,-0.0675125119792023,-0.0627847826374596,-0.051198693804896,NA,NA,"0.1",2,"Carib"
"29","DS_log",0.999999999956378,0.195810433016918,0.501212829218545,0.208926995545527,0.19271306913284,0.155005355977531,NA,0.10449585569695,"0.1",2,"Carib"
"30","bwcent_log",0.267551327587825,NA,NA,-0.00305446017504043,-0.00367643988031341,NA,NA,NA,"0.1",2,"Carib"
"31","egveccent_log",0.307258837321478,NA,NA,0.00861717812424038,0.00830236358831514,NA,NA,NA,"0.1",2,"Carib"
"32","ITM_log",0.972473571113216,0.104390114751841,0.657120924618399,0.096794504957861,0.0961255839352959,NA,NA,0.10318579221627,"0.1",2,"Carib"
"33","Area_log",0.992372694167513,-0.0481501754926764,0.343681680255639,-0.0513853342255182,-0.0480010329825825,NA,NA,NA,"0.1",2,"Carib"
"34","DS_log:ITM_log",0.878986772727357,-0.0573477967623199,0.44419025557145,-0.0514174010633446,-0.0568173664338843,NA,NA,-0.0561353017031195,"0.1",2,"Carib"
"35","rankSST:SR_log",0.174041507965219,NA,NA,0.0200894356818471,0.0187867287754276,NA,NA,NA,"0.1",2,"Carib"
"36","Area_log:DS_log",0.94995024519018,0.0404851373827228,0.269528970885446,0.0389048010207527,0.0397320652289165,NA,NA,NA,"0.1",2,"Carib"
"37","deltaSST",1,-0.418913653568786,0.501197655852914,-0.41893191747225,-0.419296293053706,NA,-0.404345381674403,NA,"0",0,"SWP"
"38","rankSST",1,-0.82846375749906,0.585315805171548,-0.828737783875999,-0.827434069294871,NA,-0.737837394140607,-0.641461951016044,"0",0,"SWP"
"39","LR_log",0.261677452971012,NA,NA,0.000492623271022938,-0.000775467307184547,0.260577994657966,NA,NA,"0",0,"SWP"
"40","SR_log",1,-0.0789640054900524,0.654668718359526,-0.0791834468353853,-0.0790609490407366,-0.197681425288722,NA,NA,"0",0,"SWP"
"41","DS_log",1,0.896549310045152,0.829993584630348,0.896489369953734,0.896570248873451,0.695532169922538,NA,0.575746545736946,"0",0,"SWP"
"42","bwcent_log",0.977741086685938,0.0561594299105632,0.432325520720354,0.0560567476925409,0.0559496537562116,NA,NA,NA,"0",0,"SWP"
"43","egveccent_log",0.2613992885039,NA,NA,0.000803234778199311,-0.000105590188288579,NA,NA,NA,"0",0,"SWP"
"44","ITM_log",1,0.14992527349701,0.273030602385359,0.14995353134918,0.153126562134414,NA,NA,0.220247772401476,"0",0,"SWP"
"45","Area_log",1,-0.547755332623193,0.745165257399803,-0.54756187704054,-0.543669701529803,NA,NA,NA,"0",0,"SWP"
"46","DS_log:ITM_log",0.685286607801578,0.030707825489848,0.387891430791485,0.0307703637399723,0.030707516305061,NA,NA,-0.0944046818754943,"0",0,"SWP"
"47","rankSST:SR_log",1,0.216822461738004,0.596642054337737,0.216950042150548,0.213123180396995,NA,NA,NA,"0",0,"SWP"
"48","Area_log:DS_log",1,0.235423916559649,0.410961969508686,0.235318040272583,0.234842902522688,NA,NA,NA,"0",0,"SWP"
"49","deltaSST",1,-0.229397136013617,0.353461456977697,-0.230140548994989,-0.2295909941233,NA,-0.277054819599246,NA,"0.01",1,"SWP"
"50","rankSST",1,-0.19082507221458,0.387427945191739,-0.189332928308593,-0.18903422191586,NA,-0.264447105508495,-0.204120439615599,"0.01",1,"SWP"
"51","LR_log",0.476609319510764,NA,NA,0.0297208755393959,0.0282402091585504,0.0991711410961904,NA,NA,"0.01",1,"SWP"
"52","SR_log",0.999999889510738,-0.0927758578798196,0.385736230931812,-0.12033276119948,-0.104706464561618,-0.154176698807726,NA,NA,"0.01",1,"SWP"
"53","DS_log",1,0.419475838405464,0.504743949718625,0.429740958441071,0.423785006981097,0.42811508836473,NA,0.31887736944348,"0.01",1,"SWP"
"54","bwcent_log",0.291360093819794,NA,NA,-0.0089116955837042,-0.00745217974211392,NA,NA,NA,"0.01",1,"SWP"
"55","egveccent_log",0.991227470035398,-0.0493139335075321,0.352540663420962,-0.0487891317476322,-0.0496955107701045,NA,NA,NA,"0.01",1,"SWP"
"56","ITM_log",1,0.155948855847154,0.225511548791755,0.150016099560999,0.153248951319667,NA,NA,0.175190693678437,"0.01",1,"SWP"
"57","Area_log",1,-0.187116727611178,0.459036889179569,-0.188538025419708,-0.188209118946627,NA,NA,NA,"0.01",1,"SWP"
"58","DS_log:ITM_log",0.488188823025537,NA,NA,0.021625871213732,0.020626225357327,NA,NA,-0.0301361024919582,"0.01",1,"SWP"
"59","rankSST:SR_log",0.936055208095693,0.0412701472471023,0.361005250607604,0.0438968805624868,0.0426757122420637,NA,NA,NA,"0.01",1,"SWP"
"60","Area_log:DS_log",0.999999999564166,0.083105089497764,0.288398280236373,0.0811264564410645,0.0821294817709459,NA,NA,NA,"0.01",1,"SWP"
"61","deltaSST",0.980126678502258,-0.0339741200756117,0.244236400542226,-0.029343513620881,-0.0331035324369771,NA,-0.058492243437781,NA,"0.1",2,"SWP"
"62","rankSST",0.314796122916333,NA,NA,-0.00843833781867406,-0.00389776125575976,NA,-0.0418638515748326,-0.0145210377315542,"0.1",2,"SWP"
"63","LR_log",0.467018074681638,NA,NA,0.019800188137361,0.0156608063593555,0.0294760657687182,NA,NA,"0.1",2,"SWP"
"64","SR_log",0.362308239731528,NA,NA,-0.0192117633945391,-0.00980003273020599,-0.0365097791897135,NA,NA,"0.1",2,"SWP"
"65","DS_log",1,0.122686827593869,0.306390784410839,0.128214891537546,0.123568486410632,0.126307927223343,NA,0.10371869297811,"0.1",2,"SWP"
"66","bwcent_log",0.265480465819648,NA,NA,-0.00277122891642026,0.00048406037599127,NA,NA,NA,"0.1",2,"SWP"
"67","egveccent_log",0.291720217554027,NA,NA,0.00669612975858833,0.00529475053177787,NA,NA,NA,"0.1",2,"SWP"
"68","ITM_log",1,0.075712605337419,0.195706139157639,0.0729492075634113,0.0754839716021989,NA,NA,0.0770050235664402,"0.1",2,"SWP"
"69","Area_log",0.99999691578227,-0.0606002548585075,0.298527599253128,-0.0586412062979203,-0.0603195440961196,NA,NA,NA,"0.1",2,"SWP"
"70","DS_log:ITM_log",0.273886668476476,NA,NA,0.00822905071161729,0.00399961312192347,NA,NA,NA,"0.1",2,"SWP"
"71","rankSST:SR_log",0.0553787709577516,NA,NA,0.0131154301180238,0.012486898293411,NA,NA,NA,"0.1",2,"SWP"
"72","Area_log:DS_log",0.999196037296472,0.0350604123953374,0.204531483620005,0.033411918540753,0.0346278716369019,NA,NA,NA,"0.1",2,"SWP"
"73","deltaSST",0.999999999999999,0.0980224519044927,1.68365718412492,0.0980224519044929,0.0980222034967646,NA,0.150055727135186,NA,"0",0,"CT"
"74","rankSST",1,-0.804315078743002,3.20597524534976,-0.804315078743005,-0.804313159025893,NA,-0.495142188086591,-0.490099693634896,"0",0,"CT"
"75","LR_log",0.999998922673637,-0.0969216663557724,4.14779362351116,-0.0969216663557722,-0.0969262652251766,0.0152875462477623,NA,NA,"0",0,"CT"
"76","SR_log",1,0.181325408491123,5.83875775761784,0.181325408491124,0.181309397479794,0.102055434345001,NA,NA,"0",0,"CT"
"77","DS_log",1,0.502699086635865,5.28227089195369,0.502699086635865,0.502664431388718,0.399395282307991,NA,0.441882421766308,"0",0,"CT"
"78","bwcent_log",0.999999999999046,0.0775455036530304,2.96360023629035,0.0775455036530318,0.0775406252440465,NA,NA,NA,"0",0,"CT"
"79","egveccent_log",1,0.108365142268876,2.91215644625094,0.108365142268877,0.108365753638636,NA,NA,NA,"0",0,"CT"
"80","ITM_log",0.999999753711735,0.00611500618122469,3.99330432522735,0.00611500618122467,0.00611571672205097,NA,NA,-0.145334246044601,"0",0,"CT"
"81","Area_log",1,-0.758480553266003,3.0988764890191,-0.758480553266001,-0.75846926492198,NA,NA,NA,"0",0,"CT"
"82","DS_log:ITM_log",0.999941665107719,-0.0170653240611903,2.52446666548866,-0.0170653240611904,-0.0170548961404431,NA,NA,-0.0274961919548519,"0",0,"CT"
"83","rankSST:SR_log",1,0.0963488516997945,2.6929327608399,0.096348851699795,0.0963467993995415,NA,NA,NA,"0",0,"CT"
"84","Area_log:DS_log",0.998117322669251,0.0321608851341246,2.38122188856718,NA,0.0321601856973898,NA,NA,NA,"0",0,"CT"
"85","deltaSST",0.999999999999989,0.0548283680911403,0.308200947976509,0.0548122262475791,0.0548276439679099,NA,0.0791901594338776,NA,"0.01",1,"CT"
"86","rankSST",1,-0.375753206688748,0.300419214945635,-0.375720306222006,-0.375742807936244,NA,-0.217335912739072,-0.211117838364213,"0.01",1,"CT"
"87","LR_log",1,-0.092186479694519,0.484630298859898,-0.0921738887638732,-0.092186030509264,0.00110343213750885,NA,NA,"0.01",1,"CT"
"88","SR_log",1,0.105722095679769,0.547702270719062,0.105689586793011,0.105717687061937,0.0578241140138197,NA,NA,"0.01",1,"CT"
"89","DS_log",1,0.294730534147724,0.42381431973026,0.294737571680502,0.294727034208082,0.287139213820187,NA,0.308193147895783,"0.01",1,"CT"
"90","bwcent_log",1,0.0545908584094303,0.287678893659023,0.0545866523780164,0.0545872574150099,NA,NA,NA,"0.01",1,"CT"
