"","Variable","RVI","Full","Full.SD","Best","Best.SD","Warm.Larvae","Warm.Larvae.SD","Connectivity","Connectivity.SD","Temperature","Temperature.SD","Region","V","V2"
"1","deltaSST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carib",0,0
"2","iSST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carib",0,0
"3","LR_log",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carib",0,0
"4","SR_log",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carib",0,0
"5","DS_log",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carib",0,0
"6","ITM_log",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carib",0,0
"7","pr05_log",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carib",0,0
"8","Area_log",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carib",0,0
"9","deltaSST",0.73,-2.5,38,-1.9,22,NA,NA,NA,NA,-2,22,"Carib",0.01,1
"10","iSST",0.73,-1.9,29,-1.3,14,NA,NA,NA,NA,-1.8,15,"Carib",0.01,1
"11","LR_log",0.53,1.5,180,5.1,89,NA,NA,6.5,110,NA,NA,"Carib",0.01,1
"12","SR_log",0.45,2.3,130,NA,NA,NA,NA,1.4,57,NA,NA,"Carib",0.01,1
"13","DS_log",0.34,0.29,89,NA,NA,0.58,17,0.23,34,NA,NA,"Carib",0.01,1
"14","ITM_log",0.27,-0.41,33,NA,NA,NA,NA,NA,NA,NA,NA,"Carib",0.01,1
"15","pr05_log",0.32,0.54,54,NA,NA,0.92,20,NA,NA,NA,NA,"Carib",0.01,1
"16","Area_log",0.38,-1.2,37,NA,NA,NA,NA,NA,NA,NA,NA,"Carib",0.01,1
"17","deltaSST",1,-0.069,0.3,-0.068,0.29,NA,NA,NA,NA,-0.056,0.28,"Carib",0.1,2
"18","iSST",0.84,-0.037,0.38,-0.04,0.31,NA,NA,NA,NA,-0.013,0.28,"Carib",0.1,2
"19","LR_log",0.6,-0.029,0.56,NA,NA,NA,NA,-0.024,0.54,NA,NA,"Carib",0.1,2
"20","SR_log",0.66,-0.05,0.81,-0.084,0.48,NA,NA,-0.068,0.78,NA,NA,"Carib",0.1,2
"21","DS_log",1,0.24,0.6,0.25,0.57,0.14,0.27,0.2,0.51,NA,NA,"Carib",0.1,2
"22","ITM_log",0.99,0.04,0.26,0.04,0.25,NA,NA,NA,NA,NA,NA,"Carib",0.1,2
"23","pr05_log",0.3,-0.00036,0.35,NA,NA,0.031,0.26,NA,NA,NA,NA,"Carib",0.1,2
"24","Area_log",0.99,-0.065,0.39,-0.063,0.39,NA,NA,NA,NA,NA,NA,"Carib",0.1,2
"25","deltaSST",0.89,0.56,5.6,0.56,5.6,NA,NA,NA,NA,0.37,2.4,"SWP",0,0
