"","Variable","RVI","Full","Full.SD","Best","Best.SD","Warm.Larvae","Warm.Larvae.SD","Connectivity","Connectivity.SD","Temperature","Temperature.SD","Region","V","V2"
"26","iSST",1,-1.4,4,-1.4,4,NA,NA,NA,NA,-1.4,1.8,"SWP",0,0
"27","LR_log",0.93,0.6,5.3,0.6,5.3,NA,NA,-0.044,3.5,NA,NA,"SWP",0,0
"28","SR_log",0.9,-0.65,6,-0.65,6,NA,NA,0.89,4.9,NA,NA,"SWP",0,0
"29","DS_log",1,2.3,7.1,2.3,7.1,0.72,2.6,0.61,2.9,NA,NA,"SWP",0,0
"30","ITM_log",1,0.21,1,0.21,1,NA,NA,NA,NA,NA,NA,"SWP",0,0
"31","pr05_log",1,0.73,4.6,0.73,4.6,0.97,2.9,NA,NA,NA,NA,"SWP",0,0
"32","Area_log",1,-1.3,4.1,-1.3,4.1,NA,NA,NA,NA,NA,NA,"SWP",0,0
"33","deltaSST",0.76,0.18,2,0.18,2,NA,NA,NA,NA,0.18,1.1,"SWP",0.01,1
"34","iSST",1,-1.3,1.7,-1.3,1.7,NA,NA,NA,NA,-1.3,0.87,"SWP",0.01,1
"35","LR_log",1,0.73,2.2,0.73,2.2,NA,NA,0.53,2,NA,NA,"SWP",0.01,1
"36","SR_log",1,-0.83,2.5,-0.83,2.5,NA,NA,-0.041,2.3,NA,NA,"SWP",0.01,1
"37","DS_log",1,2,2.9,2,2.9,0.54,1.2,0.64,1.4,NA,NA,"SWP",0.01,1
"38","ITM_log",1,0.14,0.46,0.14,0.46,NA,NA,NA,NA,NA,NA,"SWP",0.01,1
"39","pr05_log",1,1.1,2.2,1.1,2.2,1,1.4,NA,NA,NA,NA,"SWP",0.01,1
"40","Area_log",1,-1.1,1.8,-1.1,1.8,NA,NA,NA,NA,NA,NA,"SWP",0.01,1
"41","deltaSST",0.98,-0.04,0.32,-0.04,0.3,NA,NA,NA,NA,-0.099,0.28,"SWP",0.1,2
"42","iSST",0.27,0.0014,0.31,NA,NA,NA,NA,NA,NA,-0.057,0.26,"SWP",0.1,2
"43","LR_log",0.95,0.047,0.36,0.047,0.36,NA,NA,0.051,0.35,NA,NA,"SWP",0.1,2
"44","SR_log",0.88,-0.043,0.41,-0.043,0.4,NA,NA,-0.063,0.4,NA,NA,"SWP",0.1,2
"45","DS_log",1,0.18,0.38,0.18,0.38,0.13,0.26,0.17,0.3,NA,NA,"SWP",0.1,2
"46","ITM_log",1,0.11,0.21,0.11,0.21,NA,NA,NA,NA,NA,NA,"SWP",0.1,2
"47","pr05_log",1,0.059,0.31,0.058,0.29,0.1,0.25,NA,NA,NA,NA,"SWP",0.1,2
"48","Area_log",1,-0.068,0.31,-0.068,0.31,NA,NA,NA,NA,NA,NA,"SWP",0.1,2
"49","deltaSST",1,-0.64,1.9,-0.64,1.9,NA,NA,NA,NA,-0.43,1.6,"CT",0,0
"50","iSST",1,-0.42,1.7,-0.42,1.7,NA,NA,NA,NA,-0.078,1.3,"CT",0,0
"51","LR_log",0.31,0.034,3.6,NA,NA,NA,NA,0.21,3,NA,NA,"CT",0,0
"52","SR_log",0.97,0.22,3.8,0.25,2.8,NA,NA,-0.13,3.3,NA,NA,"CT",0,0
"53","DS_log",1,1.1,3.1,1.1,2.8,0.63,2.3,0.71,2.7,NA,NA,"CT",0,0
"54","ITM_log",1,-0.087,0.33,-0.087,0.33,NA,NA,NA,NA,NA,NA,"CT",0,0
"55","pr05_log",1,0.35,2.3,0.34,2.3,0.3,1.7,NA,NA,NA,NA,"CT",0,0
"56","Area_log",1,-1.4,1.4,-1.4,1.4,NA,NA,NA,NA,NA,NA,"CT",0,0
"57","deltaSST",1,-0.28,1.8,-0.28,1.8,NA,NA,NA,NA,-0.13,1.6,"CT",0.01,1
"58","iSST",1,-0.93,1.4,-0.95,1.3,NA,NA,NA,NA,-0.5,1,"CT",0.01,1
"59","LR_log",1,0.59,3.6,0.57,3.5,NA,NA,0.55,2.7,NA,NA,"CT",0.01,1
"60","SR_log",1,0.42,3.8,0.43,3.8,NA,NA,0.16,2.9,NA,NA,"CT",0.01,1
"61","DS_log",1,1.1,2.7,1.1,2.7,0.54,2,0.62,2.3,NA,NA,"CT",0.01,1
"62","ITM_log",1,-0.08,0.33,-0.076,0.31,NA,NA,NA,NA,NA,NA,"CT",0.01,1
"63","pr05_log",0.48,0.061,2,NA,NA,0.32,1.5,NA,NA,NA,NA,"CT",0.01,1
"64","Area_log",1,-1.4,1.3,-1.4,1.3,NA,NA,NA,NA,NA,NA,"CT",0.01,1
"65","deltaSST",1,0.027,0.23,0.027,0.23,NA,NA,NA,NA,0.05,0.22,"CT",0.1,2
"66","iSST",1,-0.087,0.26,-0.087,0.26,NA,NA,NA,NA,-0.053,0.22,"CT",0.1,2
"67","LR_log",0.56,-0.0074,0.35,NA,NA,NA,NA,0.013,0.34,NA,NA,"CT",0.1,2
"68","SR_log",0.68,-0.01,0.37,-0.016,0.25,NA,NA,-0.0052,0.36,NA,NA,"CT",0.1,2
"69","DS_log",1,0.21,0.29,0.21,0.27,0.17,0.24,0.18,0.28,NA,NA,"CT",0.1,2
"70","ITM_log",0.67,0.0071,0.17,0.0071,0.17,NA,NA,NA,NA,NA,NA,"CT",0.1,2
"71","pr05_log",1,0.053,0.26,0.054,0.26,0.087,0.22,NA,NA,NA,NA,"CT",0.1,2
"72","Area_log",1,-0.26,0.22,-0.26,0.21,NA,NA,NA,NA,NA,NA,"CT",0.1,2
