,iSST,deltaSST,LR,SR,DS,bw_cent,egvec_cent,ITM,pr05,Area,region,min_cover
0,28.665110748863636,4.102807505606062,0.30083737168312696,0.36363105098559734,0.38790970767025407,0.0,3.5673431019321423e-08,-3.6430745928258975e-05,0.0,90968836.23430935,3,4.719747967218891e-06
1,28.637739350378787,4.1230757824242446,0.4382700910065267,0.15630961356826178,0.10509454810795983,0.0,3.156493145759101e-08,-4.0504791323005575e-06,0.0,159830599.15603682,3,7.887003120253754e-06
2,25.798748784545456,3.5609703995454502,0.10177014658207902,0.055281973975640566,0.35488083125554565,0.0004641509730090785,3.337654231509535e-07,0.0009108706489034169,0.019937807075504223,3860802.7579458607,3,0.28306518523751467
3,25.76210487689394,3.570746039924245,0.097767447828635,0.0570657352330454,0.40818835567542494,0.0,4.5603945258630035e-07,1.5171323682444498e-05,0.02341868403864271,144748982.40945992,3,0.011558958887671163
4,25.602244484469693,3.5947404765909106,0.12392386340511874,0.07039968919587224,0.43648802556933974,0.0,6.085289631258746e-07,0.00014865796079143034,0.08855306255033821,101732581.87638947,3,0.027195377525294988
5,25.616070759318177,3.5947889600000025,0.04559693943022749,0.019971479677917597,0.3479590204017006,0.0,7.755856104346571e-07,8.387160530695221e-05,0.10646914106157988,120505848.94974086,3,0.02262050956972411
6,25.55786681015151,3.5995905553787892,0.019031980206081753,0.007254424866682656,0.3140162748138337,0.0,9.579679807792105e-07,0.0004461035823116159,0.19834775684424005,32187502.67763646,3,0.05519639549310312
7,25.531463955606057,3.6008535846212126,0.1026071721243159,0.028162767952694994,0.22218148861912596,0.0,1.1753488165969014e-06,2.1373332975420596e-05,0.2976814503114951,677645968.5820553,3,0.008903704212081571
8,25.478319094999996,3.6005202977272788,0.030986054764437446,0.0048731270971708145,0.11735135535022727,0.0009566910905632175,1.0763677092120742e-06,1.3008860735649987e-05,0.5213183092486544,865549755.5118833,3,0.0053587117943503584
9,25.56720102060606,3.6008485265151506,0.0697827557381534,0.008719672176072368,0.08183885206219185,0.0004803073967339097,9.82351046713369e-07,7.15233031764566e-06,0.6502789071358415,930486474.4902387,3,0.0024099857203451758
10,25.862935459090906,3.6004440421969726,0.06392625067935945,0.020155198989168104,0.1038886548935434,0.001440922190201729,5.418059082223066e-07,1.4498223560676343e-05,0.42742819340469274,214491004.55239615,3,0.00022934219535719353
11,25.795815465530303,3.5949455620454565,0.18679239721204263,0.12809465442837561,0.1601392222666467,0.0,3.440910131948173e-07,2.7144071571101594e-05,0.31994968152685943,181897300.50654835,3,0.0004835695836908218
12,25.962542878787882,3.596422694999994,0.05927528226575935,0.10981672679176295,0.17236264994983336,0.0009442275636897763,1.4111824217166352e-07,2.372145784705377e-06,0.19825333936876702,408618527.4243359,3,0.000178956649743106
13,25.964582642727272,3.599158168636361,0.005851462485571542,1.0,0.17089744699992296,0.0,-1.8355915872866483e-20,4.094870282172047e-07,0.11365568717503259,356111980.98198056,3,0.0001884041885911019
14,25.868654896666666,3.602109298787873,0.12292379072064194,0.3451640629642726,0.17698748621366045,0.0029709355169432413,2.652622475296741e-07,0.00015022517294100478,0.7892126910520829,114396971.27584742,3,0.06333982863690192
15,28.70992396227273,3.9634027843939386,0.11981204670719646,0.23050431719870423,0.13924529270077854,0.0,4.7049976659789704e-07,-0.00018760909936786253,6.704498395494864e-10,23799825.32755422,3,0.005917127182683612
16,28.690659337575756,3.988816560833339,0.06446764713844867,0.2722598073939568,0.5087318657079722,0.0,7.365828090784482e-08,-0.0001042955516294746,0.0,92926867.17929903,3,1.061899170106553e-05
17,28.501916103030304,4.1394489685606075,0.21676753149284977,0.1854484206514725,0.3152951526666927,0.0,5.414466183188969e-08,7.083463329545143e-07,0.0,572435343.7111391,3,9.40230839420697e-06
18,28.47370317651515,4.1598887610606,0.41780394482383737,0.12843460788693228,0.11414959313630023,1.0155466341322455e-05,5.4099876613360494e-08,3.6772414758042564e-06,0.0018536830435945692,86315658.61278813,3,2.481532998706883e-06
19,28.47370317651515,4.1598887610606,0.4635640206166926,0.2582407403604272,0.17617065770378953,0.0,3.1383522001575334e-08,1.90252989113817e-05,0.00921552889824336,47358419.245890595,3,9.230392717421355e-06
20,27.18388008212121,3.9245214407575766,0.30979501872239995,0.3876023234151662,0.32631887752751165,0.0,2.6304131849717335e-12,3.09715112668439e-05,0.07912887098549115,51676619.24617708,3,2.3992534513955003e-06
21,26.210359219393936,3.4695816016666647,0.09709492995303026,0.06487174011005592,0.28658950795457383,0.0,1.265469354632523e-07,-0.00020862470760023798,0.017589726184410126,5962908.732537557,3,0.046868151384001855
22,26.115220051666665,3.475447617500002,0.022963666793071096,0.018827625009376903,0.33608924088663394,0.0,1.2877123331431728e-07,-4.352518575187606e-05,0.012190203752913195,24488863.396628007,3,0.019358802499738585
23,26.08520256772727,3.4874873418939387,0.017708561041087086,0.018650092722703956,0.46925737778185944,0.0009280711399649452,1.4223286979441407e-07,-9.614995588104937e-05,0.01986742959581139,49267533.99366347,3,0.01576869315586426
24,26.042474880303033,3.5115668965151485,0.04114236107391771,0.056937178292346124,0.761296362685858,0.0,2.0027543599442163e-07,-0.001555215244529111,0.026543783430124764,4530591.295919292,3,0.35782345808879185
25,25.95911213219697,3.537441253181818,0.04135833610138859,0.0486949213926893,0.8320149861899535,0.0,3.306517569135206e-07,-1.3976333039428773e-05,0.042243027751847684,67067103.33667504,3,0.02533042319546002
