"","Variable","RVI","Full","Full.SD","Best","Best.SD","Warm.Larvae","Warm.Larvae.SD","Connectivity","Connectivity.SD","Temperature","Temperature.SD","Region","Beta","Beta2"
"1","deltaSST",0.39,0.023,0.53,NA,NA,NA,NA,NA,NA,0.003,0.49,"Carib",0,0
"2","iSST",0.29,-0.0046,0.68,NA,NA,NA,NA,NA,NA,-0.029,0.49,"Carib",0,0
"3","LR_log",0.72,-0.075,0.89,-0.11,0.52,NA,NA,-0.11,0.84,NA,NA,"Carib",0,0
"4","SR_log",0.68,-0.07,1.3,NA,NA,NA,NA,-0.041,1.3,NA,NA,"Carib",0,0
"5","DS_log",0.54,-0.054,0.97,-0.084,0.71,-0.044,0.42,0.06,0.82,NA,NA,"Carib",0,0
"6","ITM_log",0.3,-0.01,0.47,NA,NA,NA,NA,NA,NA,NA,NA,"Carib",0,0
"7","pr05_log",0.3,-0.016,0.56,NA,NA,0.014,0.42,NA,NA,NA,NA,"Carib",0,0
"8","Area_log",1,0.17,0.62,0.16,0.61,NA,NA,NA,NA,NA,NA,"Carib",0,0
"9","deltaSST",0.49,-0.042,0.5,-0.04,0.5,NA,NA,NA,NA,-0.065,0.47,"Carib",0.05,1
"10","iSST",0.7,-0.062,0.65,-0.072,0.54,NA,NA,NA,NA,-0.13,0.47,"Carib",0.05,1
"11","LR_log",0.42,-0.035,0.86,NA,NA,NA,NA,-0.1,0.84,NA,NA,"Carib",0.05,1
"12","SR_log",0.95,-0.15,1.3,-0.2,0.76,NA,NA,-0.091,1.2,NA,NA,"Carib",0.05,1
"13","DS_log",0.42,0.055,0.97,0.068,0.93,-0.015,0.41,0.11,0.81,NA,NA,"Carib",0.05,1
"14","ITM_log",1,0.12,0.42,0.13,0.42,NA,NA,NA,NA,NA,NA,"Carib",0.05,1
"15","pr05_log",0.38,0.011,0.55,NA,NA,0.099,0.42,NA,NA,NA,NA,"Carib",0.05,1
"16","Area_log",1,0.1,0.62,0.1,0.61,NA,NA,NA,NA,NA,NA,"Carib",0.05,1
"17","deltaSST",0.94,-0.057,0.41,-0.055,0.41,NA,NA,NA,NA,-0.057,0.39,"Carib",0.5,2
"18","iSST",1,-0.23,0.51,-0.23,0.51,NA,NA,NA,NA,-0.25,0.4,"Carib",0.5,2
"19","LR_log",0.28,-0.017,0.78,NA,NA,NA,NA,-0.16,0.76,NA,NA,"Carib",0.5,2
"20","SR_log",1,-0.3,1.1,-0.32,0.68,NA,NA,-0.11,1.1,NA,NA,"Carib",0.5,2
"21","DS_log",1,0.51,0.86,0.52,0.82,0.2,0.38,0.35,0.71,NA,NA,"Carib",0.5,2
"22","ITM_log",1,0.087,0.33,0.088,0.33,NA,NA,NA,NA,NA,NA,"Carib",0.5,2
"23","pr05_log",0.97,0.072,0.5,0.072,0.5,0.25,0.39,NA,NA,NA,NA,"Carib",0.5,2
"24","Area_log",0.86,-0.065,0.54,-0.063,0.54,NA,NA,NA,NA,NA,NA,"Carib",0.5,2
"25","deltaSST",1,-0.37,0.5,-0.37,0.48,NA,NA,NA,NA,-0.4,0.45,"SWP",0,0
"26","iSST",1,0.15,0.51,0.15,0.5,NA,NA,NA,NA,0.1,0.43,"SWP",0,0
"27","LR_log",0.36,-0.025,0.59,NA,NA,NA,NA,0.016,0.56,NA,NA,"SWP",0,0
"28","SR_log",0.96,0.074,0.65,0.054,0.43,NA,NA,-0.048,0.63,NA,NA,"SWP",0,0
"29","DS_log",0.28,-0.012,0.59,NA,NA,0.084,0.41,0.14,0.47,NA,NA,"SWP",0,0
"30","ITM_log",0.84,-0.043,0.44,-0.042,0.44,NA,NA,NA,NA,NA,NA,"SWP",0,0
"31","pr05_log",1,0.11,0.49,0.12,0.47,0.17,0.4,NA,NA,NA,NA,"SWP",0,0
"32","Area_log",0.27,0.0049,0.52,NA,NA,NA,NA,NA,NA,NA,NA,"SWP",0,0
"33","deltaSST",1,-0.26,0.44,-0.26,0.44,NA,NA,NA,NA,-0.31,0.4,"SWP",0.05,1
"34","iSST",0.69,0.038,0.47,0.041,0.46,NA,NA,NA,NA,-0.092,0.37,"SWP",0.05,1
"35","LR_log",0.51,0.041,0.56,0.026,0.42,NA,NA,0.049,0.54,NA,NA,"SWP",0.05,1
"36","SR_log",0.34,-0.025,0.63,NA,NA,NA,NA,-0.09,0.61,NA,NA,"SWP",0.05,1
"37","DS_log",1,0.12,0.58,0.11,0.53,0.13,0.39,0.23,0.45,NA,NA,"SWP",0.05,1
"38","ITM_log",1,0.19,0.28,0.18,0.28,NA,NA,NA,NA,NA,NA,"SWP",0.05,1
"39","pr05_log",1,0.14,0.47,0.14,0.46,0.27,0.37,NA,NA,NA,NA,"SWP",0.05,1
"40","Area_log",0.69,-0.038,0.48,-0.039,0.48,NA,NA,NA,NA,NA,NA,"SWP",0.05,1
"41","deltaSST",1,-0.15,0.36,-0.15,0.36,NA,NA,NA,NA,-0.29,0.32,"SWP",0.5,2
"42","iSST",1,-0.061,0.38,-0.061,0.38,NA,NA,NA,NA,-0.22,0.29,"SWP",0.5,2
"43","LR_log",1,0.075,0.48,0.075,0.48,NA,NA,0.099,0.46,NA,NA,"SWP",0.5,2
"44","SR_log",1,-0.09,0.54,-0.09,0.54,NA,NA,-0.15,0.53,NA,NA,"SWP",0.5,2
"45","DS_log",1,0.43,0.51,0.43,0.51,0.29,0.33,0.43,0.38,NA,NA,"SWP",0.5,2
"46","ITM_log",1,0.13,0.23,0.13,0.23,NA,NA,NA,NA,NA,NA,"SWP",0.5,2
"47","pr05_log",1,0.27,0.39,0.27,0.39,0.37,0.31,NA,NA,NA,NA,"SWP",0.5,2
"48","Area_log",1,-0.17,0.4,-0.17,0.4,NA,NA,NA,NA,NA,NA,"SWP",0.5,2
"49","deltaSST",1,-0.29,0.46,-0.29,0.45,NA,NA,NA,NA,-0.29,0.45,"CT",0,0
"50","iSST",0.97,-0.028,0.51,-0.034,0.42,NA,NA,NA,NA,-0.035,0.42,"CT",0,0
"51","LR_log",0.85,0.032,0.66,0.031,0.61,NA,NA,-0.007,0.66,NA,NA,"CT",0,0
"52","SR_log",0.93,0.036,0.68,0.036,0.59,NA,NA,0.059,0.69,NA,NA,"CT",0,0
"53","DS_log",0.29,-0.0016,0.53,NA,NA,0.0041,0.46,-0.0077,0.52,NA,NA,"CT",0,0
"54","ITM_log",0.9,-0.025,0.41,-0.023,0.4,NA,NA,NA,NA,NA,NA,"CT",0,0
"55","pr05_log",0.37,0.012,0.55,NA,NA,0.088,0.45,NA,NA,NA,NA,"CT",0,0
"56","Area_log",0.29,0.0061,0.49,NA,NA,NA,NA,NA,NA,NA,NA,"CT",0,0
"57","deltaSST",1,-0.12,0.4,-0.12,0.4,NA,NA,NA,NA,-0.12,0.39,"CT",0.05,1
"58","iSST",1,-0.15,0.42,-0.15,0.42,NA,NA,NA,NA,-0.18,0.34,"CT",0.05,1
"59","LR_log",0.99,-0.045,0.59,-0.045,0.59,NA,NA,-0.059,0.55,NA,NA,"CT",0.05,1
"60","SR_log",1,0.13,0.59,0.13,0.59,NA,NA,0.17,0.56,NA,NA,"CT",0.05,1
"61","DS_log",1,0.077,0.49,0.077,0.49,0.079,0.43,0.053,0.46,NA,NA,"CT",0.05,1
"62","ITM_log",0.31,-0.0028,0.2,NA,NA,NA,NA,NA,NA,NA,NA,"CT",0.05,1
"63","pr05_log",1,0.3,0.48,0.3,0.48,0.39,0.41,NA,NA,NA,NA,"CT",0.05,1
"64","Area_log",1,-0.43,0.34,-0.43,0.33,NA,NA,NA,NA,NA,NA,"CT",0.05,1
"65","deltaSST",1,0.057,0.3,0.057,0.3,NA,NA,NA,NA,0.083,0.29,"CT",0.5,2
"66","iSST",1,-0.28,0.3,-0.28,0.3,NA,NA,NA,NA,-0.22,0.25,"CT",0.5,2
"67","LR_log",0.4,-0.016,0.47,NA,NA,NA,NA,0.0011,0.44,NA,NA,"CT",0.5,2
"68","SR_log",0.4,0.016,0.49,NA,NA,NA,NA,0.058,0.46,NA,NA,"CT",0.5,2
"69","DS_log",1,0.36,0.4,0.36,0.35,0.29,0.34,0.29,0.37,NA,NA,"CT",0.5,2
"70","ITM_log",0.33,0.0029,0.17,NA,NA,NA,NA,NA,NA,NA,NA,"CT",0.5,2
"71","pr05_log",1,0.16,0.34,0.16,0.33,0.27,0.29,NA,NA,NA,NA,"CT",0.5,2
"72","Area_log",1,-0.47,0.26,-0.46,0.25,NA,NA,NA,NA,NA,NA,"CT",0.5,2
