,iSST,deltaSST,LR,SR,DS,bw_cent,egvec_cent,ITM,pr05,Area,region,min_cover
128,29.280220367666665,0.8820751556666622,0.028166263044589038,0.00816153105401047,0.0028260759999999994,0.00036966718124338294,0.004342239924907626,-3.446586042376611e-05,0.0,4.0,2,0.0073612671245519646
129,29.23993210475,0.9097603574722193,0.000989631014173229,0.000706209893728992,0.015763451,0.00029573374499470634,0.00010378435311228667,1.0219344627045446e-05,7.929735690490617e-05,19.0,2,0.09768911684138562
130,29.287186311,0.8944715687222278,0.7900758623665282,0.4409652869076637,0.09182655799999999,0.00032530711949417697,0.0013035327552877601,-7.812324108882493e-06,0.0,17.0,2,0.05530618727600706
131,28.276381737416663,0.8763686640648167,0.8328823416851224,0.2218809190444719,0.019215803,0.0,1.5945395232062221e-18,5.054847689009188e-06,0.021544923207216477,5.0,2,0.06285924000347384
132,29.293224871249997,0.880995065972229,0.26059790837020286,0.031742047137992536,0.012949041,0.009705981510726262,0.0012531434497301563,-2.391835201289529e-05,0.0,4.0,2,0.035212218004791566
133,28.71025661591666,0.8425098074166755,0.024374354138787514,0.005063345555574629,0.029853550000000003,0.002021340147038818,0.1641983945988479,-0.0003008463582349196,0.25107670612037764,41.0,2,0.10654218846045568
134,29.270625401,0.8728557466851861,0.23261620976935402,0.026878527075383324,0.004271091,0.0010276747638566046,0.013750786939046708,-2.399600533841315e-05,0.0005408454186529858,11.0,2,0.004633692461937741
135,29.262175205749998,0.8653239187870376,0.7228386942528939,0.8371697076918302,0.300384629,0.0004036765619177742,0.0028542939853013817,-9.618386227992634e-06,0.0020773399826660237,398.0,2,0.04271511166691597
136,29.25859257833334,0.8966849627777727,0.011676771965756462,0.001084983823877535,0.00640588,0.0004938753541411596,6.985541741125559e-05,1.962785988490918e-05,0.0,18.0,2,0.11796554220187735
137,28.68241373308333,0.852431246916673,0.007582002435120364,0.0006492738814203659,0.018919804,0.0017167343896942705,0.25114739658806856,-0.00026750004853260095,0.2568165611017958,23.0,2,0.10201736783233534
138,27.805651714499998,0.7997548796666685,0.02212253364760502,0.09951621744534533,0.955335602,0.0012716551034772374,0.13544563602673046,3.897931854168323e-05,0.5296901517546501,1872.0,2,0.2303752783163462
139,29.14880157316667,0.8427467854444437,0.12740329247407922,0.7120934329467691,0.31446079,0.004317712676922713,0.00012056532297549227,1.2950674388825084e-05,1.0780358339747224e-05,261.0,2,0.12152971495846884
140,29.15515462791667,0.8776341770833263,0.260189836471031,0.03955035062689484,0.00520764,0.0,0.0002453446277506872,7.3491528417696e-07,0.0,27.0,2,0.08345622510086353
141,29.221956155833333,0.863402341111108,0.19056254725066935,0.4452168901799419,0.079062372,0.011730278995215027,0.011019254791413123,-4.624946749660501e-06,0.0008449025536446085,174.0,2,0.04001111508719023
142,28.05564593175,0.8612583653796335,0.8526302466872238,0.7368835565881604,0.15249906100000002,0.0011947643297786138,1.1727171154735802e-18,0.00014957033408841835,0.14560460146046406,21.0,2,0.08628259941412683
