,SST,deltaSST,rankSST,LR,SR,DS,bw_cent,egvec_cent,ITM,region,Area,N45_2018,N45_2050,N45_2100,N45_2150,N45_2300,min_cover,resiliency
1052,30.44330204695833,1.0220121258333315,0.9198589453196497,0.007424390409631397,0.006951512453357919,0.3883859549000439,0.012051538068457998,0.06342266580386742,-4.867462209610928e-05,3,150105172.16598135,0.12080377399504642,0.030126648907612887,0.0013328913171107013,0.0006794723336640478,0.00021149265222190254,0.0001996705164776561,
1053,29.692440328958334,0.8778076565740776,0.3101267078196486,0.006600089182646349,0.00853176842961715,0.4777038690928852,0.001411840627497033,0.0034624325195385993,8.927411757699125e-05,3,14411734.755940523,0.29046478618258326,0.1570056216622702,0.051648026366923755,0.03206779287561015,0.009179114760308929,0.008310149131119172,
1054,29.800211835000006,0.8851768585185127,0.42826422531965136,0.004146596773357716,0.0055347357370875505,0.48706731291835925,0.0020137828142736004,0.0038086351718666527,-2.538990007332715e-07,3,205195253.85465083,0.21753262980835458,0.0947155275514708,0.01412389301985859,0.003611515744512229,0.00043575475011825994,0.00039361518325794185,2.0
1055,29.75934136654167,0.887556873055555,0.40227866615298424,0.006377647267691564,0.007169022715542483,0.42955887924541447,0.0014148411061887874,0.004234786108598006,6.169609066813903e-06,3,139663040.62557146,0.22640725907977116,0.10215672901671706,0.019233926127282926,0.00585295601028019,0.0005558961894216463,0.0005113623943623396,
1056,29.739510549583333,0.8910626202777756,0.38531688865298364,0.00932506214605637,0.009458361433716906,0.425627421334301,0.0,0.004330767523169514,1.9953448733285085e-05,3,54141658.68436909,0.24417070970567084,0.11642280284182172,0.026163791873368075,0.00987492890018818,0.001344098383657495,0.001230099211074273,
1057,29.658253889875,0.8974793064814826,0.3085398186529815,0.017052065056196025,0.018450570340133112,0.5056807887937831,0.0,0.004799661811717507,0.000253308724203016,3,9391226.427549958,0.3333197702081713,0.1899198306436626,0.06919597425647794,0.0399405957870598,0.010084193704628326,0.009330462947818313,3.0
1058,29.618396846916664,0.9050910008333339,0.26967910865297995,0.022431926828342642,0.017849549290446264,0.38380660208060385,0.0019039191329447483,0.005180412157804622,0.00021130651694009324,3,9956545.606618764,0.3128803084282295,0.17433230420254242,0.0636022671728849,0.03713953709198918,0.008817857964556643,0.00820064980736339,3.0
1059,29.561921878916667,0.9231802066666681,0.2117821861529805,0.02485393241444351,0.012519214647886967,0.24427343262426407,0.0007094978075733006,0.005768709411964425,1.552032161329703e-05,3,85024595.86052135,0.236582917887131,0.11222001275011828,0.03148802900093715,0.016405026019995564,0.0015648679992817012,0.0014393366299383697,2.0
1060,29.561921878916667,0.9231802066666681,0.2117821861529805,0.03015816544199013,0.035050894060042886,0.5480038926891952,0.002597952934952853,0.005750645649681251,8.376260677760286e-06,3,233290627.63166523,0.22722167515118208,0.10447359425480457,0.025420709653949852,0.011486471738552667,0.0008433300603295983,0.0007762716898625152,2.0
1061,29.637941226,0.9454226240740766,0.27490128615298204,0.04342183307052162,0.04797550600983105,0.5218534169038527,9.647693024256331e-05,0.005561728273565683,5.218380113559164e-06,3,123654294.086779,0.22188254195310622,0.10202611818690864,0.021873402571988818,0.0073589449372583405,0.0006338243097841204,0.0005875099586224057,
1062,29.690564554958332,0.9603598286111072,0.3144082978196465,0.07512662482806441,0.07118321387164891,0.47524548147926643,0.0013906064706015406,0.00544051920934811,2.936965782875875e-05,3,15708470.968020864,0.2697200900343203,0.14237268900056202,0.04109482288849355,0.017421083491121626,0.002582764074896598,0.0023983990214107745,
1063,29.942979894875002,0.9764873738888902,0.5761693736529914,0.14376797884641335,0.1222307838485719,0.43962487008213713,0.002097103799483087,0.005132547916924719,-1.2789032192023772e-05,3,178710419.01828474,0.1763561959538344,0.0695479339693034,0.004115287781683949,0.0005444928922758765,7.250906308535846e-05,6.824317253675218e-05,2.0
1064,29.88038170633334,0.9740754898148083,0.5102306478196468,0.25246912783038655,0.1930005730041924,0.3270614191340174,0.004668975650422998,0.003833659135528116,-0.0001351784826066257,3,2171479.4059325024,0.3449829365630804,0.20008063198732623,0.05273921825834875,0.019666564428815633,0.002811057200393054,0.0026172849915162173,3.0
1065,29.88038170633334,0.9740754898148083,0.5102306478196468,0.07130924947793021,0.034660892438084574,0.21416650198167572,2.100335084228053e-05,0.00014848561589252135,0.00016389063606994178,3,50526156.96722829,0.28333198050043373,0.17571964988618802,0.06713393011007066,0.04777161459915546,0.027834488259062592,0.026607596124848393,
1066,30.412388364166667,0.8874538277777866,1.083978905319647,0.07544127454836078,0.09053960860611826,0.5170145232538539,0.010016290291235694,0.00012173911261637824,-2.0036757958628413e-05,3,331238493.53143054,0.16776531980294762,0.07111447272301932,0.004813394908852967,0.00041030092075981594,9.501137095661543e-05,9.076397099460205e-05,
1067,30.41662176612499,0.8811240549074064,1.1033248853196547,2.9827651180422724e-06,3.5292025500943973e-06,0.33525938531034805,0.003248364392903914,7.683968891785022e-06,-4.695451046640781e-05,3,96267617.25365095,0.17166732044385305,0.07770854304685859,0.007004178963788268,0.0008737847299722546,0.00020990235498239904,0.00019476579234124596,
